"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"2,3,7,8-tetrachlorodibenzofuran","2,3,7,8-TCDF","51207-31-9","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Gierthy JF, Lincoln DW, Gillespie MB, Seeger JI, Martinez HI, Dickerman HW, Kumar SA. 1987. Suppression of estrogen-regulated extracellular tissue plasminogen activator activity of MCF-7 cells by 2,3,7,8-tetrachlorodibenzo-p-dioxin. Cancer Res 47(23):6198-6203. URL: http://cancerres.aacrjournals.org/content/47/23/6198.long  Harper N, Wang X, Liu H, Safe S. 1994. Inhibition of estrogen-induced progesterone receptor in MCF-7 human breast cancer cells by aryl hydrocarbon (Ah) receptor agonists. Molecular & Cellular Endocrinology 104(1):47-55. DOI: 10.1016/0303-7207(94)90050-7. URL: http://www.sciencedirect.com/science/article/pii/0303720794900507?via%3Dihub  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","ATSDR. 1994. Toxicological profile for Chlorodibenzofurans. URL: http://www.atsdr.cdc.gov/ToxProfiles/tp32.pdf  Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: https://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3,7,8-tetrafluorooxanthrene","TFDD","100231-56-9","Schmitz HJ, Weber R, Hagenmaier A, Hagenmaier H, Poellinger L, Schrenk D. 1997. 2,3,7,8-tetrafluorodibenzo-p-dioxin: a potent agonist of the murine dioxin receptor. Environmental Toxicology and Pharmacology 3(2):105-113. DOI: 10.1016/S1382-6689(96)00146-9. URL: https://www.sciencedirect.com/science/article/pii/S1382668996001469","Medical/Veterinary/Research","Schmitz HJ, Weber R, Hagenmaier A, Hagenmaier H, Poellinger L and Schrenk D. 1997. 2,3,7,8-tetrafluorodibenzo-p-dioxin: a potent agonist of the murine dioxin receptor. Environmental Toxicology and Pharmacology 3(2):105-113. DOI: 10.1016/S1382-6689(96)00146-9. URL: https://www.sciencedirect.com/science/article/pii/S1382668996001469","01/20/2017","01/20/2017",,,
"2,3,8-trichlorodibenzofuran","2,3,8-TriCDF","57117-32-5","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X","Byproduct/Intermediate/Reactant","ATSDR. 1994. Toxicological profile for Chlorodibenzofurans. URL: http://www.atsdr.cdc.gov/ToxProfiles/tp32.pdf  Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: https://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"2,3',4,4'-tetrahydroxybenzophenone",,"61445-50-9","Kawamura Y, Mutsuga M, Kato T, Iida M, Tanamoto K. 2005. Estrogenic and anti-androgenic activities of benzophenones in human estrogen and androgen receptor mediated mammalian reporter gene assays. Journal of Health Science 51(1):48-54. DOI: 10.1248/jhs.51.48. URL: https://www.jstage.jst.go.jp/article/jhs/51/1/51_1_48/_article  Kawamura Y, Ogawa Y, Nishimura T, Kikuchi Y, Nishikawa J, Nishihara T, Tanamoto K. 2003. Estrogenic activities of UV stabilizers used in food contact plastics and benzophenone derivatives tested by the yeast two-hybrid assay. Journal of Health Science 49(3):205-212. DOI: 10.1248/jhs.49.205. URL: https://www.jstage.jst.go.jp/article/jhs/49/3/49_3_205/_article","Food additives and contact material, Industrial additive, Personal care product/Cosmetic ingredient","Kawamura Y, Ogawa Y, Nishimura T, Kikuchi Y, Nishikawa J, Nishihara T and Tanamoto K. 2003. Estrogenic activities of UV stabilizers used in food contact plastics and benzophenone derivatives tested by the yeast two-hybrid assay. Journal of Health Science 49(3): 205-212. DOI: 10.1248/jhs.49.205. URL: https://www.jstage.jst.go.jp/article/jhs/49/3/49_3_205/_article","01/20/2017","01/20/2017",,,
"2,3',4,4',5-pentachlorobiphenyl","PCB-118","31508-00-6","Ness DK, Schantz SL, Moshtaghian J, Hansen LG. 1993. Effects of perinatal exposure to specific to PCB congeners on thyroid hormone concentrations and thyroid histology in the rat. Toxicol Lett 68(3):311-323. DOI: 10.1016/0378-4274(93)90023-Q. URL: https://www.sciencedirect.com/science/article/pii/037842749390023Q  Schantz SL, Seo B-W, Moshtaghian J, Amin S. 1997. Developmental exposure to polychlorinated biphenyls or dioxin: do changes in thyroid function mediate effects on spatial learning? Am Zool 37(4):399-408. DOI: 10.1093/icb/37.4.399. URL: https://academic.oup.com/icb/article/37/4/399/305554","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3',4,4',5,5'-hexabromobiphenyl","PBB-167","67888-99-7","Akoso BT, Sleight SD, Nachreiner RF, Aust SD. 1982. Effects of purified polybrominated biphenyl congeners on the thyroid and pituitary glands in rats. Journal of the American College of Toxicology 1(3):23-36. DOI: 10.3109/10915818209018016. URL: http://journals.sagepub.com/doi/abs/10.3109/10915818209018016",,"US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"2,3',4,4',5'-pentachlorobiphenyl","PCB-123","65510-44-3","Jones JM, Anderson JW. 1999. Relative potencies of PAHs and PCBs based on the response of human cells. Environmental Toxicology and Pharmacology 7(1):19-26. DOI: 10.1016/S1382-6689(98)00045-3. URL: https://www.sciencedirect.com/science/article/pii/S1382668998000453?via%3Dihub","Industrial additive","United Nations Environment Programme. 1991. Guidelines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221","01/20/2017","01/20/2017",,,
"2,3',4,4',6-pentabromodiphenyl ether ","PBDE-119 ","189084-66-0","Meerts IATM, Letcher RJ, Hoving S, Marsh G, Bergman ?, Lemmen JG, van der Burg B, Brouwer A. 2001. In vitro estrogenicity of polybrominated diphenyl ethers, hydroxylated PBDEs, and polybrominated bisphenol A compounds. Environ Health Perspect 109(4):399-407. DOI: 10.2307/3454900 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240281/","Byproduct/Intermediate/Reactant, Flame retardant","WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"2,3',4,4',6-pentabromodiphenyl ether metabolite","PBDE-119 metabolite","n/a","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman ?, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","Metabolite/Degradate","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman A, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","05/05/2011","05/05/2011",,,
"2,3',4',6-tetrabromodiphenyl ether ","PBDE-71 ","189084-62-6","Meerts IATM, Letcher RJ, Hoving S, Marsh G, Bergman ?, Lemmen JG, van der Burg B, Brouwer A. 2001. In vitro estrogenicity of polybrominated diphenyl ethers, hydroxylated PBDEs, and polybrominated bisphenol A compounds. Environ Health Perspect 109(4):399-407. DOI: 10.2307/3454900 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1240281/","Byproduct/Intermediate/Reactant, Flame retardant","WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","08/15/2014",,,
"2,3',4',6-tetrabromodiphenyl ether metabolite","PBDE-71 metabolite","n/a","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman ?, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","Metabolite/Degradate","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman A, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","05/05/2011","08/15/2014",,,
"2,3',4',6-tetrachlorodiphenyl ether","PCDE-71 (IUPAC); PCDE-37 (unknown system)","130892-66-9","Rosiak KL, Seo BW, Chu I, Francis BM. 1997. Effects of maternal exposure to chlorinated diphenyl ethers on thyroid hormone concentrations in maternal and juvenile rats. Journal of Environmental Science & Health - Part B: Pesticides, Food Contaminants, & Agricultural Wastes B32(3):377-393. URL: http://www.tandfonline.com/doi/abs/10.1080/03601239709373093?journalCode=lesb20","Byproduct/Intermediate/Reactant, Medical/Veterinary/Research","NICNAS. 2002. Polychlorinated diphenyl ethers.  URL: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjUq6Kl96PZAhVJ3IMKHbNRA-0QFggsMAA&url=https%3A%2F%2Fwww.nicnas.gov.au%2F__data%2Fassets%2Fword_doc%2F0019%2F39304%2FPolychlorinated-diphenyl-ethers.docx&usg=AOvVaw1P","05/05/2011","08/15/2014",,,
"2,3',5-trichlorobiphenyl","PCB-26","38444-81-4","Pessah, I. N., L. G. Hansen, T. E. Albertson, C. E. Garner, T. A. Ta, Z. Do, K. H. Kim and P. W. Wong (2006). ""Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1)."" Chem Res Toxicol 19(1): 92-101. DOI: 10.1021/tx050196m. URL: http://pubs.acs.org/doi/abs/10.1021/tx050196m  Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Industrial additive","CDPH. 1988. Polychlorinated Biphenyls (PCBs). Fact Sheet.  URL: http://www.cdph.ca.gov/programs/hesis/Documents/pcbs.pdf  UNEP. 1999. Guidlines for the Identification of PCBs and Materials Containing PCBs. URL: http://wedocs.unep.org/handle/20.500.11822/8221  US EPA. 2012. Aroclor and other PCB mixtures. URL: http://www.epa.gov/osw//hazard/tsd/pcbs/pubs/aroclor.htm","05/05/2011","05/05/2011",,,
"2,3',6-trichlorobiphenyl","PCB-27","38444-76-7","Pessah, I. N., L. G. Hansen, T. E. Albertson, C. E. Garner, T. A. Ta, Z. Do, K. H. Kim and P. W. Wong (2006). ""Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1)."" Chem Res Toxicol 19(1): 92-101. DOI: 10.1021/tx050196m. URL: http://pubs.acs.org/doi/abs/10.1021/tx050196m","Industrial additive","Pessah IN, Hansen LG, Albertson TE, Garner CE, Ta TA, Do Z, Kim KH and Wong PW. 2006. Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1). Chem Res Toxicol 19(1):92-101. DOI: 10.1021/tx050196m. URL: https://pubs.acs.org/doi/abs/10.1021/tx050196m","01/20/2017","01/20/2017",,,
"2,3',4',5-tetrachlorobiphenyl","PCB-70","32598-11-1","Pessah, I. N., L. G. Hansen, T. E. Albertson, C. E. Garner, T. A. Ta, Z. Do, K. H. Kim and P. W. Wong (2006). ""Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1)."" Chem Res Toxicol 19(1): 92-101. DOI: 10.1021/tx050196m. URL: http://pubs.acs.org/doi/abs/10.1021/tx050196m","Industrial additive","Pessah IN, Hansen LG, Albertson TE, Garner CE, Ta TA, Do Z, Kim KH and Wong PW. 2006. Structure-activity relationship for noncoplanar polychlorinated biphenyl congeners toward the ryanodine receptor-Ca2+ channel complex type 1 (RyR1). Chem Res Toxicol 19(1):92-101. DOI: 10.1021/tx050196m. URL: https://pubs.acs.org/doi/abs/10.1021/tx050196m","01/20/2017","01/20/2017",,,
"2,4-bis(4-hydroxycumyl)phenol",,,"Terasaki M, Shiraishi F, Nishikawa T, Edmonds JS, Morita M, Makino M. 2005. Estrogenic activity of impurities in industrial grade bisphenol A. Environ Sci Technol 39(10):3703-3707. DOI: 10.1021/es048932g. URL: http://pubs.acs.org/doi/abs/10.1021/es048932g?journalCode=esthag","Byproduct/Intermediate/Reactant","Chapin RE, Adams J, Boekelheide K, Gray Jr. LE , Hayward SW, Lees PSJ, Mcintyre BS, Portier KM, Schnorr TM, Selevan SG, Vandenbergh JG and Woskie SR. 2008. NTP-CERHR expert panel report on the reproductive and developmental toxicity of bisphenol A. Birth Defects Research Part B-Developmental and Reproductive Toxicology 83(3): 157-395. DOI: 10.1002/bdrb.20147. URL: http://onlinelibrary.wiley.com/doi/10.1002/bdrb.20147/abstract  Terasaki M, Shiraishi F, Nishikawa T, Edmonds JS, Morita M and Makino M. 2005. Estrogenic activity of impurities in industrial grade bisphenol A. Environ Sci Technol 39(10):3703-3707. DOI: 10.1021/es048932g. URL: https://pubs.acs.org/doi/abs/10.1021/es048932g?journalCode=esthag","01/20/2017","01/20/2017",,,
"2,4-di-t-butylphenol",,"96-76-4","Satoh K, Nonaka R, Ohyama KI, Nagai F, Ogata A, Iida M. 2008. Endocrine disruptive effects of chemicals eluted from nitrite-butadiene rubber gloves using reporter gene assay systems. Biol Pharm Bull 31(3):375-379. DOI: 10.1248/bpb.31.375. URL: https://www.jstage.jst.go.jp/article/bpb/31/3/31_3_375/_article","Biogenic compound, Byproduct/Intermediate/Reactant, Plastic/Rubber","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","01/20/2017","01/20/2017",,,
"2,4-dibromophenol"," ","615-58-7","Meerts IATM, van Zanden JJ, Luijks EAC, van Leeuwen-Bol I, Marsh G, Jakobsson E, Bergman ?, Brouwer A. 2000. Potent competitive interactions of some brominated flame retardants and related compounds with human transthyretin in vitro. Toxicol Sci 56(1):95-104. DOI: 10.1093/toxsci/56.1.95. URL: https://academic.oup.com/toxsci/article/56/1/95/1646061","Byproduct/Intermediate/Reactant","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"2,4-dichlorophenol"," ","120-83-2","Nishihara T, Nishikawa J, Kanayama T, Dakeyama F, Saito K, Imagawa M, Takatori S, Kitagawa Y, Hori S, Utsumi H. 2000. Estrogenic activities of 517 chemicals by yeast two-hybrid assay. Journal of Health Science 46(4):282-298. DOI: 10.1248/jhs.46.282. URL: https://www.jstage.jst.go.jp/article/jhs1999/46/4/46_4_282/_article","Antimicrobial, Byproduct/Intermediate/Reactant, Industrial additive, Pesticide ingredient","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","05/05/2011",,,
"2,4-dichlorophenoxyacetic acid","2,4-D","94-75-7","Cheney MA, Fiorillo R, Criddle RS. 1997. Herbicide and estrogen effects on the metabolic activity of Elliptio complanata measured by calorespirometry. Comp Biochem Physiol C Pharmacol Toxicol Endocrinol 118(2):159-164. DOI: 10.1016/S0742-8413(97)00102-3. URL: https://www.sciencedirect.com/science/article/pii/S0742841397001023  Florsheim WH, Velcoff SM. 1962. Some effects of 2,4-dichlorophenoxyacetic acid on thyroid function in the rat: Effects on iodine accumulation. Endocrinology 71(1):1-6. DOI: 10.1210/endo-71-1-1. URL: https://academic.oup.com/endo/article-abstract/71/1/1/2702809?redirectedFrom=fulltext  Goldner WS, Sandler DP, Yu F, Shostrom V, Hoppin JA, Kamel F, LeVan TD. Hypothyroidism and pesticide use among male private pesticide applicators in the agricultural health study. Journal of occupational and environmental medicine/American College of Occupational and Environmental Medicine. 2013 Oct;55(10):1171. DOI: 10.1097/JOM.0b013e31829b290b. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3795845/  Kanayama T, Kobayashi N, Mamiya S, Nakanishi T, Nishikawa J. 2005. Organotin compounds promote adipocyte differentiation as agonists of the peroxisome proliferator-activated receptor [gamma]/retinoid X receptor pathway. Mol Pharmacol 67(3):766-774. DOI: 10.1124/mol.104.008409 . URL: http://molpharm.aspetjournals.org/content/67/3/766.long  Van den Berg KJ, van Raaij JAGM, Bragt PC, Notten WRF. 1991. Interactions of halogenated industrial chemicals with transthyretin and effects on thyroid hormone levels in vivo. Arch Toxicol 65(1):15-19. DOI: 10.1007/BF01973497. URL: https://link.springer.com/article/10.1007/BF01973497","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","09/18/2017",,,
